id,id_umf,UMF,FLONA,UPA,COD_UPA,id_upa,Conces,Processo,Contrato,Ano_POA,status,AUTEX,Safra,Vol_IF,Vol_Aut,Vol_Exp,Rev_AUTEX,n_arv_inv,n_arv_aut,area_upa,n_UT,n_arv_exp
"41",S-T1B,1B,Saracá-Taquera,"6","6",SCQ1B-06,SAMISE Ind Com e Exp de Madeiras LTDA,02018.100842/2017-53,02/2014,"2020",Explorada,1015.2.2020.23145,2020-2021,134369.8265000000,58089.9930000000,,"1","31480","10987",2695.462500000000,"28",
"42",S-T1B,1B,Saracá-Taquera,"2","2",SCQ1B-02,SAMISE Ind Com e Exp de Madeiras LTDA,02018.100842/2017-53,02/2014,"2016",Explorada,1500.2.2016.00015,2016-2017,137046.7405000000,78832.9690000000,36664.61000000000,,"43268","16890",3498.840000000000,"20",
"43",S-T1B,1B,Saracá-Taquera,"3","3",SCQ1B-03,SAMISE Ind Com e Exp de Madeiras LTDA,02018.100842/2017-53,02/2014,"2017",Explorada,1500.2.2017.00007,2017-2018,123200.6434000000,59453.8810000000,33688.84000000000,,"27107","9447",3200.177700000000,"33",
"44",S-T1B,1B,Saracá-Taquera,"5","5",SCQ1B-05,SAMISE Ind Com e Exp de Madeiras LTDA,02018.100842/2017-53,02/2014,"2019",Explorada,1015.2.2019.06836,2019-2020,140253.6795000000,63299.8460000000,15134.52920000000,"1","25586","10475",3243.666800000000,"33",
"45",S-T1B,1B,Saracá-Taquera,"4","4",SCQ1B-04,SAMISE Ind Com e Exp de Madeiras LTDA,02018.100842/2017-53,02/2014,"2018",Explorada,1015.2.2018.00807,2018-2019,125050.6743000000,51533.1910000000,32640.20000000000,"0","28744","10329",2888.955900000000,"29",
"46",CXN2,"2",Caxiuanã,"26","26",CXN02-26,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"47",CXN2,"2",Caxiuanã,"27","27",CXN02-27,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"48",CXN2,"2",Caxiuanã,"24","24",CXN02-24,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"49",CXN2,"2",Caxiuanã,"25","25",CXN02-25,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"50",CXN2,"2",Caxiuanã,"30","30",CXN02-30,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"51",CXN2,"2",Caxiuanã,"28","28",CXN02-28,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"52",CXN2,"2",Caxiuanã,"29","29",CXN02-29,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"53",CXN2,"2",Caxiuanã,"15","15",CXN02-15,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"54",CXN2,"2",Caxiuanã,"16","16",CXN02-16,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"55",CXN2,"2",Caxiuanã,"22","22",CXN02-22,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"56",CXN2,"2",Caxiuanã,"23","23",CXN02-23,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"57",CXN2,"2",Caxiuanã,"20","20",CXN02-20,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"58",CXN2,"2",Caxiuanã,"21","21",CXN02-21,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"59",CXN2,"2",Caxiuanã,"10","10",CXN02-10,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"60",CXN2,"2",Caxiuanã,"5","5",CXN02-05,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,"2024",Explorando,1015.2.2024.42753,2024-2025,235280.1079000000,103110.0300000000,,,"57493","21390",5232.043940000000,"44",
"61",CXN2,"2",Caxiuanã,"9","9",CXN02-09,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"62",CXN2,"2",Caxiuanã,"14","14",CXN02-14,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"63",CXN2,"2",Caxiuanã,"19","19",CXN02-19,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"64",CXN2,"2",Caxiuanã,"12","12",CXN02-12,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"65",CXN2,"2",Caxiuanã,"13","13",CXN02-13,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,,Exploração Futura,,,,,,,"0",,,,
"66",CXN2,"2",Caxiuanã,"2","2",CXN02-02,Benevides Madeiras LTDA,02018.102810/2017-92,02/2015,"2021",Explorada,1015.2.2021.34316,2021-2022,103723.1900000000,32808.2150000000,,,"8559","5502",,"14","3099"
